R,X2,Y2,modified X2,modified Y2,theta
0.0003063135016547589,0.00023016400000000001,0.00020212,7.756418986419136e-05,-0.00029633048737298645,0.7206149266851409
0.0002800311799228793,0.00021982299999999999,0.00017348,5.659365468306111e-05,-0.00027425283950875413,0.6681087093686711
0.0002550281164832615,0.00020876599999999999,0.000146479,3.740920074272319e-05,-0.00025226948269021886,0.6118271479096105
0.00023115717724959354,0.000196905,0.000121087,2.0023438621487375e-05,-0.0002302883030025006,0.5513406812046886
0.00020833095988616288,0.00018417900000000003,9.736469999999999e-05,4.517966407413848e-06,-0.000208281964717619,0.48629755874293773
0.0001866072746471852,0.000170709,7.53705e-05,-9.10922340188937e-06,-0.00018638480893105124,0.41577502242285314
0.00016598235031725511,0.000156463,5.54028e-05,-2.0577023846289357e-05,-0.00016470193291661528,0.34031845124796684
0.00014661558972892344,0.000141741,3.74916e-05,-2.9993037110717496e-05,-0.0001435149778818752,0.2585857706467712
0.00012843220160209043,0.000126571,2.17856e-05,-3.7236871952548156e-05,-0.00012291560428013008,0.17045141635409194
0.00011151466805208361,0.00011119299999999999,8.46392e-06,-4.22559333572681e-05,-0.00010319863025676511,0.0759726743541128
9.593775018934988e-05,9.59043e-05,-2.53321e-06,-4.523686779153631e-05,-8.460305965983244e-05,-0.02640779516329463
8.170741659219193e-05,8.09436e-05,-1.1146099999999998e-05,-4.623326776667157e-05,-6.736903500708058e-05,-0.13684146214621784
6.88162299701168e-05,6.657890000000001e-05,-1.74047e-05,-4.539199221187126e-05,-5.172272759955164e-05,-0.25569267859306005
5.726266033812959e-05,5.3078199999999996e-05,-2.14876e-05,-4.29927837204104e-05,-3.7823707075986276e-05,-0.3846624507059956
4.703498870298578e-05,4.07698e-05,-2.3454499999999997e-05,-3.9236116461282175e-05,-2.5938722546160623e-05,-0.5220529647477207
3.8119513283881265e-05,2.9862e-05,-2.3693e-05,-3.456183727553741e-05,-1.60803201814912e-05,-0.6707136289211139
3.0397862794940043e-05,2.05041e-05,-2.24413e-05,-2.9249793559333355e-05,-8.275242548492526e-06,-0.8304760455942485
2.3883875711031492e-05,1.28747e-05,-2.01167e-05,-2.375307606823159e-05,-2.4961763312722755e-06,-1.0014827125109569
1.842343195577035e-05,6.914169999999999e-06,-1.7076800000000002e-05,-1.836465937940583e-05,1.4704186163476074e-06,-1.1860843484436254
1.3986976402153541e-05,2.62262e-06,-1.3738900000000002e-05,-1.345765758867437e-05,3.811425074745034e-06,-1.382175433375858
1.0374040089878197e-05,-2.3842e-07,-1.0371300000000002e-05,-9.378737308757966e-06,4.433959210424857e-06,4.735373371364762
7.5391350009467265e-06,-1.87755e-06,-7.3016e-06,-7.368886656909158e-06,1.593130879785515e-06,4.964078401591123
5.3732190411428415e-06,-2.53321e-06,-4.7386e-06,-5.3713571552521774e-06,-1.4143965080991517e-07,5.203324469477274
3.7329324468840843e-06,-2.53321e-06,-2.7418299999999997e-06,-3.586251437274498e-06,-1.0361396052881067e-06,5.45825922826244
2.5557238443345162e-06,-2.17558e-06,-1.3411099999999998e-06,-2.1737678632996466e-06,-1.3440452540691063e-06,5.7307667022499675
1.6914089246412296e-06,-1.6391400000000002e-06,-4.17234e-07,-1.1074611910826845e-06,-1.2784341440221794e-06,6.033934103353205
1.074544424417162e-06,-1.07289e-06,5.96051e-08,-4.2744694147525325e-07,-9.85867553107141e-07,6.338683905344714
6.697274238852699e-07,-6.25852e-07,2.3842e-07,-6.728108426602703e-08,-6.663393114652532e-07,6.647164529465511
4.0095196514545227e-07,-2.98025e-07,2.68223e-07,1.0625332765403507e-07,-3.86617005208571e-07,7.016001335877807
2.4027500242222454e-07,-1.1921e-07,2.08617e-07,1.330880461916002e-07,-2.0004911584384097e-07,7.334834487288186
